"","new_age","Alnus incana-type","Cyrilla racemiflora","Fraxinus undiff.","Nyssa","Asteroideae undiff.","Iva frutescens-type","Byrsonima","Carya","Taxodium","Xyris","Amaranthaceae undiff.","Myrica","Cupressaceae undiff.","Cyperaceae","Ambrosia-type","Pinus subg. Pinus","Quercus","Poaceae","Pinus undiff.","Acer saccharum-type","Ostrya/Carpinus","Ulmus","Vitis","Rhexia-type","Podocarpus","Polygonum polygamum-type","Betula","Celtis","Cephalanthus","Polygonum delopyrum-type","Ericaceae","Artemisia","Liquidambar","Pinus subg. Strobus","mimosoid clade","Polygonum fimbriatum-type","Rhus","Urticaceae undiff.","Populus","Chamaecyparis-type","Apiaceae","Salix","Tilia","Chamaecrista-type","Paronychia chartacea","Urtica-type","Trema","Acer rubrum","Gordonia","Chamaecrista fasciculata-type","Ranunculaceae undiff.","Ilex","Morus","Tillandsia","Ceratiola ericoides-type","Combretaceae/Melastomataceae undiff.","Acalypha-type","cf. Araliaceae","Urticalean Rosids undiff.","Fabaceae undiff.","Lechea","Orchidaceae","Taxus","Bursera","Platanus","Ledum-type","Cichorioideae","Bromeliaceae","Anacardiaceae undiff.","Impatiens","Phoradendron","Campanulaceae","Beta vulgaris-type","Froelichia-type","Abies","Dalea undiff.","Scrophulariaceae-type","cf. Physalis","Thalictrum","Dodonaea","Solanaceae undiff.","Dalea purpurea","cf. Hypericum","Lupinus-type","Paronychia americana","Eryngium-type","Sisyrinchium","Fagus","Myrtaceae undiff.","cf. Verbenaceae","Ludwigia-type","Gentianaceae undiff.","Pinaceae (vesiculate) undiff.","Rumex","Corylus","Ceanothus","Viburnum","Symplocos","Plantago","Caryophyllaceae","Ximenia","Osmanthus","Hedyosmum","Fraxinus pennsylvanica-type","Parthenocissus","Acer negundo-type","Brassicaceae undiff.","Dalea","Gomphrena-type","Lamiaceae","Xanthium","Fraxinus nigra-type","Polygalaceae","Dianthus-type","Arceuthobium/Loranthaceae","Sapindus","Piperaceae-type","Picea","Dalea candida-type","Sambucus","Sanguisorba","Cyclachaena xanthiifolia-type","Persicaria amphibia","Larix/Pseudotsuga","Rubiaceae undiff.","Onagraceae","Apocynum","Hedysarum","Saxifraga-type","Tsuga","Polygonum tenue-type","Berberidaceae","Zanthoxylum-type","Malvaceae","Avena-type","Acer undiff.","cf. Oxalis","Rosaceae undiff.","Clethra","Magnolia","cf. Weinmannia","Gentiana andrewsii-type","Rhamnaceae undiff.","Juglans nigra-type","Shepherdia canadensis","Trifolium repens-type","Brassica","Galium","Euphorbia","Solanum rostratum","Rutaceae undiff.","Cedrus","Engelhardia-type","Moraceae undiff.","Cistaceae"
"1",1025.5,0.0020703933747412,0.0020703933747412,0.0020703933747412,0.0020703933747412,0.0020703933747412,0.0020703933747412,0.0020703933747412,0.0041407867494824,0.0041407867494824,0.0041407867494824,0.0062111801242236,0.0144927536231884,0.0186335403726708,0.020703933747412,0.0269151138716356,0.0289855072463768,0.0559006211180124,0.0641821946169772,0.737060041407868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1153,0.00249687890137328,0,0.00249687890137328,0.00249687890137328,0.0124843945068664,0.00749063670411985,0,0.0149812734082397,0.00749063670411985,0.00499375780274657,0.0374531835205993,0.017478152309613,0.0149812734082397,0.0124843945068664,0.0199750312109863,0.0948813982521848,0.104868913857678,0.0724094881398252,0.553058676654182,0.00249687890137328,0.00249687890137328,0.00249687890137328,0.00249687890137328,0.00249687890137328,0.00249687890137328,0.00249687890137328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1267,0,0.00194174757281553,0.00388349514563107,0,0.0058252427184466,0.00194174757281553,0,0.0058252427184466,0.00970873786407767,0.00194174757281553,0.0155339805825243,0.0233009708737864,0.0174757281553398,0.0174757281553398,0.0174757281553398,0.0349514563106796,0.0699029126213592,0.0466019417475728,0.710679611650485,0,0.00194174757281553,0.00194174757281553,0,0,0,0,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00388349514563107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1409,0.00247524752475248,0,0.00495049504950495,0.00247524752475248,0.00742574257425743,0,0,0.0148514851485149,0,0,0.0321782178217822,0.0222772277227723,0.00247524752475248,0.0099009900990099,0.0148514851485149,0.0717821782178218,0.0767326732673267,0.0643564356435644,0.65470297029703,0,0.0099009900990099,0,0,0,0,0.00123762376237624,0,0,0,0,0,0.00247524752475248,0.00495049504950495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1648,0,0,0.00867678958785249,0.00216919739696312,0.00650759219088937,0.00216919739696312,0,0.00216919739696312,0.00433839479392625,0.00433839479392625,0.0390455531453362,0.00867678958785249,0.00650759219088937,0.0151843817787419,0,0.017353579175705,0.0455531453362256,0.0455531453362256,0.785249457700651,0,0,0.00216919739696312,0,0.00216919739696312,0,0,0,0,0,0,0,0,0,0.00216919739696312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1739.5,0,0,0.0025062656641604,0.0025062656641604,0.012531328320802,0.0025062656641604,0,0.0175438596491228,0.0025062656641604,0.0025062656641604,0.0401002506265664,0.0275689223057644,0.012531328320802,0.0325814536340852,0.0100250626566416,0,0.0827067669172932,0.0802005012531328,0.639097744360902,0,0.0050125313283208,0,0,0.0025062656641604,0,0,0.0025062656641604,0.0025062656641604,0,0,0.0075187969924812,0.0025062656641604,0.0050125313283208,0,0.0025062656641604,0.0025062656641604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1922,0,0,0.00650759219088937,0.00216919739696312,0.00867678958785249,0,0,0.0130151843817787,0.00433839479392625,0.00433839479392625,0.0130151843817787,0.0303687635574837,0.00650759219088937,0.017353579175705,0.00650759219088937,0.017353579175705,0.0607375271149675,0.0477223427331887,0.746203904555314,0.00216919739696312,0,0,0,0,0,0,0,0,0,0,0,0,0.00433839479392625,0,0,0,0.00216919739696312,0.00216919739696312,0.00216919739696312,0.00216919739696312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2027,0,0,0.00334448160535117,0,0.00167224080267559,0,0,0.0150501672240803,0.0133779264214047,0.00334448160535117,0.00836120401337793,0.0167224080267559,0.0133779264214047,0.0133779264214047,0.00501672240802676,0.0568561872909699,0.0719063545150502,0.0668896321070234,0.693979933110368,0,0.00334448160535117,0.00167224080267559,0,0,0,0,0,0,0.00167224080267559,0.00167224080267559,0.00334448160535117,0,0.00167224080267559,0.00167224080267559,0,0,0,0,0,0,0.00167224080267559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2347.5,0.00171821305841924,0,0.00171821305841924,0,0.00343642611683849,0.00171821305841924,0,0.00343642611683849,0,0,0.0257731958762887,0,0.00343642611683849,0.00687285223367698,0.00343642611683849,0.00859106529209622,0.0549828178694158,0.0790378006872852,0.792096219931271,0,0,0.00171821305841924,0.00171821305841924,0.00171821305841924,0,0,0,0,0,0,0,0,0.00171821305841924,0.00171821305841924,0,0,0,0,0,0,0,0.00171821305841924,0.00171821305841924,0.00171821305841924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2526,0,0,0.00244798041615667,0,0.0122399020807834,0.0122399020807834,0,0.00489596083231334,0,0.00489596083231334,0.0489596083231334,0.0122399020807834,0.00734394124847001,0.0171358629130967,0.00244798041615667,0.0465116279069767,0.0856793145654835,0.0869033047735618,0.632802937576499,0,0.00244798041615667,0,0,0.00244798041615667,0,0.00611995104039168,0.00244798041615667,0,0,0,0,0,0,0.00244798041615667,0,0,0,0,0,0,0,0,0,0,0.00244798041615667,0.00489596083231334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2697.5,0,0,0,0,0.00631578947368421,0.00842105263157895,0,0.00210526315789474,0.00210526315789474,0,0.0610526315789474,0.0126315789473684,0.0105263157894737,0.0126315789473684,0.00631578947368421,0.0442105263157895,0.0757894736842105,0.0589473684210526,0.686315789473684,0,0.00210526315789474,0.00210526315789474,0,0,0,0,0,0,0,0,0.00210526315789474,0,0,0.00421052631578947,0,0,0,0,0,0,0,0,0,0,0,0,0.00210526315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2881,0.00257731958762887,0,0,0,0.0128865979381443,0.00257731958762887,0,0.00257731958762887,0.00257731958762887,0.00257731958762887,0.0463917525773196,0.0077319587628866,0.00257731958762887,0.0103092783505155,0.00257731958762887,0.0670103092783505,0.0463917525773196,0.0721649484536082,0.677835051546392,0,0,0.0077319587628866,0,0.00515463917525773,0,0,0,0,0,0,0.0077319587628866,0,0,0.00515463917525773,0,0,0,0,0,0,0.00257731958762887,0.00257731958762887,0,0,0,0,0,0.00257731958762887,0.00257731958762887,0.00515463917525773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
